name,status,taxa,state_count
Forrester's Bottlebrush,Vulnerable,Plants,2
Betka Bottlebrush,Vulnerable,Plants,1
Megalong Valley Bottlebrush,Critically Endangered,Plants,1
-,Vulnerable,Plants,2
a bottlebrush,Critically Endangered,Plants,1
Wimmera Bottlebrush,Critically Endangered,Plants,1
Corang Pine,Critically Endangered,Invertebrates,1
South Esk Pine,Endangered,Invertebrates,1
-,Critically Endangered,Invertebrates,1
Gang-gang Cockatoo,Endangered,Birds,4
Copper Beard Orchid,Critically Endangered,Plants,1
Cardwell Beard Orchid,Endangered,Plants,1
"Pretty Beard Orchid, Pretty Beard-orchid",Endangered,Plants,2
Bald-tip Beard-orchid,Endangered,Plants,1
-,Vulnerable,Plants,1
Desert Rat-kangaroo,Extinct,Mammals,2
Mauve Burr-daisy,Vulnerable,Plants,2
Moore's Burr-daisy,Endangered,Plants,1
South-eastern Red-tailed Black-Cockatoo,Endangered,Birds,2
"Forest Red-tailed Black-Cockatoo, Karrak",Vulnerable,Birds,1
"Baudin's Cockatoo, Long-billed Black-Cockatoo",Endangered,Birds,1
"Kangaroo Island Glossy Black-Cockatoo, Glossy Black-Cockatoo (South Australian)",Endangered,Birds,1
South-eastern Glossy Black-Cockatoo,Vulnerable,Birds,4
"Carnaby's Cockatoo,  Short-billed Black-Cockatoo",Endangered,Birds,1
-,Critically Endangered,Plants,1
Swamp Starflower,Endangered,Plants,1
-,Vulnerable,Plants,1
-,Vulnerable,Plants,1
-,Vulnerable,Plants,1
Grey Nurse Shark (east coast population),Critically Endangered,Fish,3
Grey Nurse Shark (west coast population),Vulnerable,Fish,1
"White Shark, Great White Shark",Vulnerable,Fish,7
Loggerhead Turtle,Endangered,Reptiles,7
"Pig-nosed Turtle, Pitted Shell Turtle",Vulnerable,Reptiles,1
"Alpine Cool-skink, Northern Snow Skink",Endangered,Reptiles,1
"Boulder Cool-skink, Southern Snow Skink",Endangered,Reptiles,1
"Heath Cool-skink, Mountain Skink",Endangered,Reptiles,1
"Pedra Branca Skink,  Pedra Branca Cool-skink, Red-throated Skink",Critically Endangered,Reptiles,1
-,Endangered,Plants,1
-,Endangered,Plants,1
"Wrinkled Cassinia, Wrinkled Dollybush",Vulnerable,Plants,3
Avenue Cassinia,Critically Endangered,Plants,2
Kaputar Cassinia,Endangered,Plants,1
"Southern Cassowary, Australian Cassowary, Double-wattled Cassowary",Endangered,Birds,1
"Pedder Centrolepis, Pedder Bristlewort",Endangered,Plants,1
an orchid,Vulnerable,Plants,1
"Cape Barren Goose (south-western), Recherche Cape Barren Goose",Vulnerable,Birds,1
Tasmanian Azure Kingfisher,Endangered,Birds,1
"Pig-footed Bandicoot, Kanjilpa, Wilalya",Extinct,Mammals,6
"Yirratji, Northern Pig-footed Bandicoot",Extinct,Mammals,4
"Christmas Island Emerald Dove, Emerald Dove (Christmas Island)",Endangered,Birds,0
"Large-eared Pied Bat, Large Pied Bat",Endangered,Mammals,2
Griffin's Waxflower,Vulnerable,Plants,1
Gingin Wax,Endangered,Plants,1
Royce's Waxflower,Vulnerable,Plants,1
"Greater Sand Plover, Large Sand Plover",Vulnerable,Birds,7
"Lesser Sand Plover, Mongolian Plover",Endangered,Birds,7
Twining Finger-flower,Vulnerable,Plants,1
Green Turtle,Vulnerable,Reptiles,7
Sand Yabby,Vulnerable,Invertebrates,1
"Hairy Marron, Margaret River Hairy Marron, Margaret River Marron",Critically Endangered,Invertebrates,1
Duck's-head Wasp-orchid,Endangered,Plants,1
-,Endangered,Plants,1
Dalhousie Goby,Critically Endangered,Fish,1
