CommonName,TaxonomicGroup,MaxStatus,State,RegionCentroidLatitude,RegionCentroidLongitude,ManagementCategory,TimeSeriesID
,Plants,Critically Endangered,South Australia,-35.33131139,138.668376,No management,1251_2_1670_611582_p_15908
Avenue Cassinia,Plants,Critically Endangered,South Australia,-36.95318691,140.406113,Unknown,918_2_1523_269715_p_16725
Avenue Cassinia,Plants,Critically Endangered,South Australia,-35.64006379,140.609955,Unknown,918_2_1523_269717_p_16725
Avenue Cassinia,Plants,Critically Endangered,South Australia,-35.64006379,140.609955,Unknown,918_2_1523_269732_p_16725
Avenue Cassinia,Plants,Critically Endangered,South Australia,-35.64006379,140.609955,Unknown,918_2_1523_269733_p_16725
Menzel's Wattle,Plants,Vulnerable,South Australia,-30.56704355,138.798038,No management,874_2_1298_250525_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369246_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369247_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369248_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369249_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369250_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369251_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369252_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369253_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369254_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369255_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369256_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369257_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369258_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369259_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369260_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369261_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369262_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369263_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369264_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369265_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369266_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369267_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369268_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369269_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369270_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369271_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-34.75516376,139.9321759,Unknown,916_2_1535_369272_p_1753
Menzel's Wattle,Plants,Vulnerable,South Australia,-34.75516376,139.9321759,Unknown,916_2_1535_369273_p_1753
,Plants,Critically Endangered,New South Wales,-31.20398431,151.6700563,Actively managed,1306_367_2059_397161_p_17692
"Austral Cornflower, Native Thistle",Plants,Vulnerable,Queensland,-27.29060711,151.4271932,No management,1381_2_1358_943933_p_18412
"Austral Cornflower, Native Thistle",Plants,Vulnerable,Queensland,-27.29060711,151.4271932,Actively managed,1381_430_1358_943934_p_18412
"Austral Cornflower, Native Thistle",Plants,Vulnerable,Queensland,-27.29060711,151.4271932,No management,1381_2_1358_943935_p_18412
"Austral Cornflower, Native Thistle",Plants,Vulnerable,Queensland,-27.29060711,151.4271932,No management,1381_2_1358_943936_p_18412
"Austral Cornflower, Native Thistle",Plants,Vulnerable,Queensland,-27.29060711,151.4271932,No management,1381_2_1358_943937_p_18412
"Austral Cornflower, Native Thistle",Plants,Vulnerable,Queensland,-27.29060711,151.4271932,No management,1381_2_1358_943938_p_18412
"Austral Cornflower, Native Thistle",Plants,Vulnerable,Queensland,-27.29060711,151.4271932,No management,1381_2_1358_943939_p_18412
