lat,lon,group,n
-32.44,116.4,Mammals,14
-37.29,149.91,Mammals,14
-30.57,138.8,Birds,14
-35.64,140.61,Plants,14
-30.47,136.31,Birds,14
-35.76,150.14,Birds,14
-16.86,126.75,Mammals,14
-32.76,136.95,Birds,14
-29.55,147.68,Birds,14
-40.67,144.74,Birds,14
-31.5,139.66,Mammals,13
-28.26,146.43,Birds,13
-36.86,143.91,Plants,13
-38.39,146.26,Amphibians,13
-32.63,139.56,Birds,13
-27.15,152.82,Plants,13
-33.56,142.55,Birds,13
-40.44,147.82,Mammals,13
-33.91,137.94,Plants,13
-33.89,150.81,Mammals,13
-17.32,128.67,Birds,13
-41.34,146.17,Birds,12
-37.12,148.61,Mammals,12
-18.18,146.21,Birds,12
-34.26,136.25,Birds,12
-26.88,114.31,Birds,12
-27.29,151.43,Plants,12
-14.73,145.11,Birds,12
-38.39,141.3,Birds,12
-16.06,135.45,Birds,12
-29.3,153.11,Birds,12
-26.13,148.14,Birds,12
-34.2,140.53,Birds,11
-29.91,115.38,Plants,11
-34.96,137.47,Plants,11
-32.11,135.74,Birds,11
-35.84,144.79,Birds,11
-22.6,150.9,Birds,11
-34.87,149.96,Plants,11
-32.63,139.56,Plants,11
-23.37,132.78,Birds,11
-34.66,150.88,Mammals,11
-32.73,136.9,Birds,11
-38.76,143.69,Plants,11
-29.73,126.69,Birds,11
-32.52,151.19,Mammals,11
-35.43,149.06,Plants,11
-33.89,150.81,Amphibians,11
-38.32,144.24,Mammals,11
-33.8,134.79,Mammals,11
-21.48,148.93,Birds,10
-16.09,145.36,Amphibians,10
-28.6,153.19,Plants,10
-31.34,122.35,Birds,10
-14.29,131.65,Birds,10
-29.65,138.73,Birds,10
-29.91,115.38,Birds,10
-30.54,149.14,Birds,10
-24.62,144.89,Mammals,10
-25.3,152.46,Birds,10
-33.07,149.57,Birds,10
-30.57,138.8,Plants,10
-34.26,136.25,Mammals,9
-28.14,152.79,Mammals,9
-33.69,151.32,Mammals,9
-36.54,142.17,Plants,9
-32.41,117.18,Plants,9
-26.38,140.45,Birds,9
-31.5,140.56,Mammals,9
-12.94,131.19,Birds,9
-31.51,152.24,Birds,9
-12.67,136.41,Birds,9
-27.21,153.34,Plants,9
-31.78,141.38,Birds,9
-34.76,139.93,Birds,9
-33.96,138.15,Birds,9
-24.99,113.11,Mammals,9
-24.67,117.92,Birds,9
-34.98,150.3,Amphibians,9
-27.12,133.06,Birds,9
-25.52,129.16,Birds,9
-34.98,150.3,Birds,9
-29.25,153.26,Plants,8
-31.11,152.37,Plants,8
-31.73,136.55,Birds,8
-29.3,140.25,Birds,8
-24.6,151.51,Birds,8
-37.22,144.88,Plants,8
-36.53,149.74,Plants,8
-25.95,150.6,Birds,8
-15.71,120.83,Birds,8
-30.92,142.44,Birds,8
-30.72,144.04,Plants,8
-21.49,119.31,Mammals,8
-41.75,147.26,Mammals,8
-37.29,149.91,Birds,8
-27.29,151.43,Mammals,8
-24.99,113.11,Birds,8
-38.43,146.16,Mammals,8
-18.35,122.58,Birds,8
-29.22,140.0,Mammals,8
-29.12,151.96,Birds,8
-32.21,148.98,Birds,8
-34.23,119.15,Birds,8
-33.21,140.03,Birds,8
-34.35,149.54,Birds,8
-32.76,134.49,Mammals,8
-34.14,148.38,Mammals,8
-17.86,124.6,Birds,7
-33.1,150.93,Plants,7
-25.31,133.48,Birds,7
-36.95,140.41,Mammals,7
-26.04,145.65,Mammals,7
-25.7,152.28,Mammals,7
-33.89,122.6,Mammals,7
-20.66,117.08,Mammals,7
-35.44,148.85,Amphibians,7
-34.23,150.32,Plants,7
-26.33,152.08,Birds,7
-32.01,140.12,Birds,7
-25.67,153.04,Birds,7
-33.52,149.77,Plants,7
-33.21,151.56,Amphibians,7
-34.15,116.65,Plants,7
-14.29,131.65,Mammals,7
-21.48,148.93,Amphibians,7
-34.66,150.88,Amphibians,7
-33.56,142.55,Mammals,7
-29.24,151.61,Plants,6
-29.89,151.61,Birds,6
-28.79,116.94,Mammals,6
-23.48,130.47,Mammals,6
-30.18,152.61,Birds,6
-29.57,150.93,Birds,6
-35.27,150.66,Plants,6
-29.25,153.26,Amphibians,6
-24.19,132.31,Birds,6
-20.58,146.0,Birds,6
-21.04,148.92,Birds,6
-29.32,150.44,Birds,6
-30.47,136.31,Mammals,6
-35.83,137.24,Birds,6
-29.24,147.3,Birds,6
-27.61,140.1,Birds,6
-29.94,115.52,Birds,6
-33.21,151.56,Mammals,6
-33.46,135.0,Birds,6
-38.39,146.26,Plants,6
-27.21,153.34,Amphibians,6
-31.72,136.53,Birds,6
-33.52,149.77,Birds,6
-37.35,140.03,Plants,6
-27.15,152.82,Amphibians,6
-16.18,130.68,Birds,6
-28.67,152.61,Birds,6
-31.2,151.67,Birds,6
-16.45,144.73,Mammals,6
-35.96,150.25,Mammals,6
-41.42,145.79,Mammals,6
-28.6,153.19,Amphibians,6
-26.61,143.53,Birds,6
-28.43,129.98,Birds,5
-29.07,143.76,Birds,5
-29.68,145.48,Birds,5
-24.11,142.17,Birds,5
-35.44,148.85,Mammals,5
-27.04,144.84,Plants,5
-24.95,148.7,Birds,5
-35.58,144.92,Birds,5
-28.2,114.8,Birds,5
-38.41,142.75,Birds,5
-28.41,134.67,Birds,5
-32.88,135.02,Birds,5
-29.38,152.38,Birds,5
-35.58,139.24,Birds,5
-24.23,151.77,Plants,5
-23.45,151.86,Reptiles,5
-22.61,117.48,Birds,5
-16.05,136.6,Birds,5
-18.56,139.6,Birds,5
